SPIELER,TORE,7M,%,TF,V,2',D
Linder Luca,0,0,,,0,0,0
Rubin Lenny,3/6,0,50,2,1,1,0
Dähler Jonas,0,0,,,0,0,0
Suter Nicolas,4/4,1/1,100,2,0,0,0
Giovanelli Marco,2/3,0,66,,1,1,0
Glatthard Viktor,0,0,,,0,0,0
Lanz Thomas,2/4,0,50,,0,1,0
Caspar Roman,1/2,0,50,,0,0,0
Friedli Reto,2/3,0,66,,0,0,0
von Deschwanden Lukas,13/18,4/5,72,3,0,0,0
Felder Gabriel,1/1,0,100,,0,0,0
Winkler Marc,0,0,,,0,0,0
Guignet Damien,0,0,,,0,0,0
Huwyler Stefan,1/1,0,100,,1,1,0
Krainer Sven,5/7,0,71,,0,0,0
Wick Flavio,0,0,,,0,0,0
