SPIELER,TORE,7M,%,TF,V,2',D
Linder Luca,0,0,,,0,0,0
Rubin Lenny,0,0,,,0,0,0
Dähler Jonas,0,0,,,0,0,0
Suter Nicolas,3/4,0,75,3,0,1,0
Giovanelli Marco,2/4,0,50,2,0,0,0
Glatthard Viktor,1/1,0,100,,0,1,0
Lanz Thomas,0/3,0,0,1,0,1,0
Friedli Reto,1/1,0,100,,0,1,0
von Deschwanden Lukas,12/17,3/4,70,6,1,0,0
Felder Gabriel,2/4,0,50,,0,0,0
Winkler Marc,0,0,,,0,0,0
Guignet Damien,0,0,,,0,0,0
Huwyler Stefan,1/1,0,100,,1,2,0
Krainer Sven,2/4,0,50,1,0,1,0
Caspar Roman,7/10,0,70,,0,0,0
Wick Flavio,0,0,,,0,0,0
