SPIELER,TORE,7M,%,TF,V,2',D
Linder Luca,6/6,0,100,,0,0,0
Rubin Lenny,8/12,0,66,1,0,1,0
Raemy Nicolas,3/5,0,60,3,0,0,0
Dähler Jonas,4/7,0,57,,0,0,0
Suter Nicolas,5/6,0,83,,1,1,0
Giovanelli Marco,1/4,0,25,,0,0,0
Glatthard Viktor,0/1,0,0,,0,1,0
Lanz Thomas,0/1,0,0,1,0,0,0
Caspar Roman,0/1,0,0,,0,1,0
Friedli Reto,3/4,0,75,,0,1,0
von Deschwanden Lukas,3/6,2/3,50,1,1,0,0
Winkler Marc,0,0,,,0,1,0
Guignet Damien,2/2,0,100,,0,1,0
Huwyler Stefan,1/3,0,33,,1,1,0
Krainer Sven,1/1,0,100,,0,0,0
Wick Flavio,0,0,,,0,0,0
