SPIELER,TORE,7M,%,TF,V,2',D
Rubin Lenny,7/10,0,70,4,1,0,0
Dähler Jonas,2/2,0,100,,1,0,0
Suter Nicolas,2/3,0,66,,0,0,0
Giovanelli Marco,1/2,0,50,2,0,2,0
Glatthard Viktor,0,0,,,0,2,0
Lanz Thomas,4/4,0,100,,0,0,0
Caspar Roman,0/2,0,0,1,0,0,0
Friedli Reto,0/1,0,0,1,0,0,0
von Deschwanden Lukas,5/8,2/2,62,2,0,1,0
Gruber Nino,3/3,1/1,100,,1,0,0
Winkler Marc,0/1,0,0,,0,0,0
Guignet Damien,3/4,0,75,1,0,0,0
Huwyler Stefan,0,0,,,0,1,0
Krainer Sven,1/2,0,50,1,0,0,0
Felder Gabriel,0,0,,,0,0,0
Wick Flavio,0,0,,,0,0,0
