SPIELER,TORE,7M,%,TF,V,2',D
Linder Luca,0/2,0,0,,0,0,0
Rubin Lenny,6/11,1/1,54,,1,0,0
Raemy Nicolas,1/3,0,33,1,0,0,0
Dähler Jonas,0/2,0,0,1,0,0,0
Suter Nicolas,0/4,0,0,,0,0,0
Giovanelli Marco,0/4,0,0,,1,1,0
Glatthard Viktor,1/1,0,100,,0,0,0
Lanz Thomas,1/2,0,50,,0,0,0
Caspar Roman,1/4,0,25,1,0,0,0
Friedli Reto,2/3,0,66,,0,0,0
von Deschwanden Lukas,9/14,2/3,64,,0,0,0
Winkler Marc,0,0,,,0,0,0
Guignet Damien,0,0,,,0,0,0
Huwyler Stefan,0,0,,,1,2,0
Krainer Sven,3/4,0,75,,0,1,0
Wick Flavio,0,0,,,0,0,0
