SPIELER,TORE,7M,%,TF,V,2',D
Linder Luca,1/1,0,100,,1,0,0
Rubin Lenny,6/9,0,66,1,0,2,0
Raemy Nicolas,1/1,0,100,2,0,0,0
Dähler Jonas,2/4,0,50,,0,0,0
Suter Nicolas,2/2,0,100,1,0,1,0
Giovanelli Marco,0/1,0,0,1,0,0,0
Glatthard Viktor,0,0,,,0,0,0
Lanz Thomas,1/1,0,100,,0,0,0
Caspar Roman,3/5,0,60,1,1,0,0
Friedli Reto,2/3,0,66,1,0,0,0
von Deschwanden Lukas,5/9,4/5,55,3,0,0,0
Winkler Marc,0,0,,1,0,0,0
Guignet Damien,0,0,,,0,0,0
Huwyler Stefan,1/1,0,100,1,1,0,0
Krainer Sven,1/1,0,100,1,0,0,0
Wick Flavio,0,0,,,0,0,0
