SPIELER,TORE,7M,%,TF,V,2',D
Linder Luca,1/3,0,33,,0,0,0
Rubin Lenny,4/6,0,66,1,0,0,0
Raemy Nicolas,2/2,0,100,1,0,1,0
Dähler Jonas,11/12,0,91,,0,1,0
Suter Nicolas,1/2,0/1,50,1,0,0,0
Giovanelli Marco,1/2,0,50,,0,1,0
Glatthard Viktor,0,0,,1,1,1,0
Lanz Thomas,1/2,0,50,,0,0,0
Caspar Roman,0,0,,,0,0,0
Friedli Reto,0/2,0,0,2,0,0,0
von Deschwanden Lukas,10/10,4/4,100,,1,0,0
Winkler Marc,0/1,0,0,1,0,0,0
Guignet Damien,2/3,0,66,,0,0,0
Sorgen Janick,1/1,0,100,,0,1,0
Krainer Sven,1/1,0,100,,0,2,0
Wick Flavio,3/3,0,100,,0,0,0
