SPIELER,TORE,7M,%,TF,V,2',D
Linder Luca,3/4,0,75,,0,0,0
Rubin Lenny,2/4,0/1,50,1,0,0,0
Raemy Nicolas,0/3,0,0,,0,0,0
Dähler Jonas,5/7,0,71,,0,0,0
Suter Nicolas,3/3,0,100,,1,0,0
Giovanelli Marco,1/1,0,100,2,0,0,0
Glatthard Viktor,0,0,,,0,2,0
Lanz Thomas,1/2,0,50,1,0,0,0
Caspar Roman,3/4,0,75,3,0,1,0
Friedli Reto,2/2,0,100,3,0,0,0
von Deschwanden Lukas,9/11,5/6,81,1,0,1,0
Winkler Marc,0,0,,,0,0,0
Guignet Damien,0,0,,,0,0,0
Huwyler Stefan,0,0,,,1,1,0
Krainer Sven,1/3,0,33,,0,0,0
Wick Flavio,0,0,,,0,0,0
