SPIELER,TORE,7M,%,TF,V,2',D
Linder Luca,0,0,,1,0,0,0
Rubin Lenny,4/7,0,57,2,0,0,0
Raemy Nicolas,5/7,0,71,1,1,0,0
Dähler Jonas,7/11,0,63,1,0,0,0
Suter Nicolas,1/4,0,25,2,1,1,0
Giovanelli Marco,0,0,,,0,0,0
Glatthard Viktor,0/1,0,0,1,0,1,0
Lanz Thomas,0,0,,,0,0,0
Caspar Roman,2/3,0,66,,0,1,0
Friedli Reto,5/5,0,100,,0,1,0
von Deschwanden Lukas,6/8,1/1,75,3,1,2,0
Winkler Marc,0,0,,,0,0,0
Guignet Damien,1/3,0,33,1,0,0,0
Sorgen Janick,0,0,,,0,1,0
Krainer Sven,1/1,0,100,,0,1,0
Wick Flavio,0/1,0,0,,0,0,0
