SPIELER,TORE,7M,%,TF,V,2',D
Linder Luca,1/1,0,100,,0,0,0
Rubin Lenny,3/9,0/1,33,4,1,0,0
Raemy Nicolas,4/7,0,57,1,1,0,0
Dähler Jonas,2/3,0,66,,0,0,0
Suter Nicolas,7/9,2/3,77,,0,0,0
Giovanelli Marco,0,0,,,1,1,0
Glatthard Viktor,1/4,0,25,,0,0,0
Lanz Thomas,0,0,,,0,0,0
Caspar Roman,2/3,0,66,1,0,0,0
Friedli Reto,1/3,0,33,,0,0,0
von Deschwanden Lukas,0,0,,,0,0,0
Winkler Marc,0,0,,,0,0,0
Guignet Damien,2/3,0,66,1,0,2,0
Huwyler Stefan,1/1,0,100,,0,0,0
Krainer Sven,2/4,0,50,,0,0,0
Wick Flavio,0,0,,,0,0,0
