19_04_,19_03_,19_02_,19_01_,18_12_,18_11_,18_10_,18_09_,Average Performance (Whole Season),Median Performance (Whole Season),time
1.0,-1.0,0.8333333333333333,0.0,0.7083333333333333,-1.0,-0.29166666666666663,-0.5444444444444444,-0.036805555555555564,-0.036805555555555564,1
0.5611111111111111,-1.6291666666666667,1.2666666666666666,0.08333333333333333,0.6444444444444444,-1.1,-0.2,-1.7,-0.2592013888888889,-0.2,2
0.0,-2.0,1.5555555555555556,0.3333333333333333,0.5,-1.3333333333333333,-0.08333333333333333,-2.722222222222222,-0.46874999999999994,-0.08333333333333333,3
-0.3333333333333333,-1.7777777777777777,1.75,0.5833333333333333,0.3333333333333333,-1.5,-0.3333333333333333,-3.444444444444444,-0.5902777777777779,-0.3333333333333333,4
-1.2222222222222223,-1.0,2.111111111111111,1.0555555555555556,0.5833333333333333,-1.8333333333333335,-0.6666666666666666,-3.8333333333333335,-0.6006944444444444,-0.6666666666666666,5
-2.166666666666667,-0.5,2.277777777777778,1.4166666666666665,1.1666666666666665,-2.416666666666667,-1.0,-3.8333333333333335,-0.6319444444444445,-0.6319444444444445,6
-2.6666666666666665,-0.16666666666666666,1.9166666666666665,2.1666666666666665,2.0,-2.75,-1.3333333333333333,-4.0,-0.6041666666666666,-0.6041666666666666,7
-2.416666666666667,-0.08333333333333333,1.8333333333333333,3.3333333333333335,2.8333333333333335,-3.0555555555555554,-1.5,-4.25,-0.41319444444444436,-0.41319444444444436,8
-2.0,-0.3333333333333333,1.8333333333333333,3.3333333333333335,3.416666666666667,-3.5,-1.5,-4.333333333333333,-0.3854166666666666,-0.3854166666666666,9
-1.7222222222222223,-0.6666666666666666,2.0,3.083333333333333,3.6111111111111107,-4.0,-1.125,-4.166666666666667,-0.373263888888889,-0.6666666666666666,10
-1.1666666666666667,-1.1666666666666667,2.375,3.611111111111111,3.6666666666666665,-4.611111111111111,-0.8333333333333334,-4.25,-0.29687499999999994,-0.8333333333333334,11
-1.0555555555555556,-1.2083333333333335,2.3333333333333335,4.166666666666667,3.6666666666666665,-5.166666666666667,-0.75,-4.5,-0.31423611111111116,-0.75,12
-1.5555555555555556,-0.6666666666666667,1.6666666666666665,4.333333333333333,3.1666666666666665,-5.166666666666667,-0.5833333333333333,-4.9444444444444455,-0.4687500000000001,-0.5833333333333333,13
-2.416666666666667,-0.5,1.1666666666666667,4.5,3.0,-5.166666666666667,-0.16666666666666666,-5.666666666666666,-0.65625,-0.5,14
-2.5,-0.75,0.9444444444444445,4.666666666666667,2.8333333333333335,-5.3,0.3333333333333333,-6.166666666666667,-0.7423611111111111,-0.7423611111111111,15
-2.5,-1.0,0.6666666666666666,4.833333333333333,2.5,-6.142857142857143,0.3333333333333333,-6.444444444444444,-0.9692460317460316,-0.9692460317460316,16
-2.1333333333333333,-1.25,0.6666666666666666,4.944444444444444,1.6666666666666667,-6.0,0.25,-6.583333333333334,-1.0548611111111112,-1.0548611111111112,17
-2.4444444444444446,-1.5833333333333335,0.8333333333333334,4.833333333333333,1.0555555555555556,-5.833333333333333,-0.08333333333333333,-6.333333333333333,-1.1944444444444444,-1.1944444444444444,18
-2.416666666666667,-1.6666666666666667,1.1666666666666667,4.833333333333333,1.25,-5.458333333333333,-0.6666666666666667,-6.333333333333333,-1.1614583333333333,-1.1614583333333333,19
-2.1666666666666665,-1.8333333333333333,1.25,5.0,1.8333333333333335,-4.722222222222222,-1.3333333333333335,-6.333333333333333,-1.0381944444444444,-1.3333333333333335,20
-2.0555555555555554,-2.0,1.0833333333333335,4.666666666666667,2.5833333333333335,-4.333333333333333,-1.8333333333333335,-6.333333333333333,-1.0277777777777777,-1.8333333333333335,21
-2.5833333333333335,-2.277777777777778,0.8333333333333334,3.5,3.083333333333333,-4.583333333333334,-2.555555555555556,-6.5,-1.385416666666667,-2.277777777777778,22
-3.25,-2.1666666666666665,0.75,2.5,3.1666666666666665,-4.833333333333333,-3.333333333333333,-7.0,-1.770833333333333,-2.1666666666666665,23
-3.3888888888888893,-2.2083333333333335,0.8333333333333334,2.3333333333333335,3.125,-4.666666666666667,-3.625,-7.5,-1.8871527777777781,-2.2083333333333335,24
-3.416666666666667,-2.0,0.6333333333333334,1.9444444444444444,3.6666666666666665,-4.5,-3.25,-7.666666666666667,-1.8236111111111113,-2.0,25
-3.3333333333333335,-1.8333333333333335,-0.7083333333333333,1.6666666666666667,4.166666666666667,-4.5,-2.8333333333333335,-7.722222222222222,-1.887152777777778,-1.887152777777778,26
-3.3333333333333335,-1.5,-1.5,1.6666666666666667,4.791666666666666,-5.041666666666667,-2.3333333333333335,-8.166666666666668,-1.927083333333334,-1.927083333333334,27
-3.3333333333333335,-1.7777777777777777,-1.4444444444444444,1.5,4.666666666666667,-5.666666666666667,-2.1666666666666665,-8.666666666666666,-2.1111111111111107,-2.1111111111111107,28
-3.5,-2.1666666666666665,-1.3333333333333333,1.3333333333333333,4.333333333333334,-5.666666666666667,-2.3333333333333335,-9.277777777777779,-2.3263888888888893,-2.3263888888888893,29
-4.0,-2.3333333333333335,-1.6666666666666667,1.3333333333333333,3.708333333333333,-5.0,-2.1666666666666665,-9.75,-2.484375,-2.3333333333333335,30
-4.5,-2.5,-2.0,1.7777777777777777,3.833333333333333,-4.166666666666667,-1.9166666666666665,-9.666666666666666,-2.392361111111111,-2.392361111111111,31
-4.5,-2.8333333333333335,-2.666666666666667,2.083333333333333,4.333333333333333,-3.6666666666666665,-1.5,-9.875,-2.328125,-2.666666666666667,32
-3.958333333333334,-3.1666666666666665,-3.083333333333333,2.0,4.75,-3.583333333333333,-1.1666666666666667,-10.5,-2.3385416666666665,-3.083333333333333,33
-3.0,-3.5555555555555554,-3.3333333333333335,1.5833333333333333,5.166666666666667,-3.6666666666666665,-0.9166666666666667,-10.666666666666666,-2.2986111111111107,-3.0,34
-2.388888888888889,-3.8333333333333335,-3.3888888888888893,1.3333333333333333,5.666666666666666,-4.083333333333334,-0.8333333333333334,-10.583333333333332,-2.2638888888888893,-2.388888888888889,35
-2.0,-3.8888888888888893,-3.5,1.4444444444444444,6.25,-4.333333333333333,-0.5833333333333333,-10.3,-2.113888888888889,-2.113888888888889,36
-2.1666666666666665,-3.916666666666667,-3.833333333333333,1.25,6.888888888888889,-5.291666666666667,-0.16666666666666666,-10.5,-2.217013888888889,-2.217013888888889,37
-2.6666666666666665,-3.583333333333333,-4.291666666666666,1.3333333333333333,7.583333333333333,-5.958333333333333,-0.16666666666666666,-11.033333333333333,-2.3479166666666664,-2.6666666666666665,38
-3.1666666666666665,-3.166666666666667,-3.777777777777778,1.5,7.916666666666666,-6.0,-0.5,-11.166666666666666,-2.2951388888888893,-3.1666666666666665,39
-2.833333333333333,-2.5,-3.083333333333333,1.8333333333333333,7.833333333333333,-6.333333333333333,-1.25,-11.166666666666666,-2.1875,-2.5,40
-2.3333333333333335,-1.7222222222222223,-3.1666666666666665,2.583333333333333,8.055555555555555,-6.75,-2.277777777777778,-10.791666666666666,-2.0503472222222223,-2.277777777777778,41
-2.111111111111111,-1.3333333333333333,-3.583333333333333,3.0,8.166666666666666,-7.0,-2.5,-10.0,-1.9201388888888888,-2.111111111111111,42
-1.5833333333333335,-1.3888888888888886,-3.8333333333333335,3.6666666666666665,7.916666666666666,-7.333333333333333,-2.5,-9.666666666666666,-1.8402777777777777,-1.8402777777777777,43
-1.125,-1.5,-3.6666666666666665,4.222222222222222,7.833333333333333,-7.416666666666666,-2.3333333333333335,-9.722222222222221,-1.7135416666666667,-1.7135416666666667,44
-1.0,-1.6666666666666667,-3.416666666666667,3.833333333333333,7.625,-7.791666666666667,-1.8333333333333333,-9.833333333333334,-1.760416666666667,-1.760416666666667,45
-0.7222222222222222,-1.5,-3.083333333333333,3.1666666666666665,6.916666666666666,-8.333333333333334,-1.5,-9.833333333333334,-1.8611111111111114,-1.5,46
-0.4444444444444444,-1.1666666666666665,-3.25,3.0,6.388888888888888,-8.944444444444443,-0.9444444444444445,-9.833333333333334,-1.8993055555555554,-1.1666666666666665,47
-0.5833333333333333,-1.0,-3.75,3.0,6.416666666666666,-9.5,-0.3333333333333333,-9.555555555555555,-1.9131944444444446,-1.0,48
-0.8333333333333334,-1.0,-4.111111111111112,3.375,6.583333333333334,-9.666666666666666,-0.08333333333333333,-9.333333333333334,-1.8836805555555556,-1.0,49
-0.8333333333333334,-1.1666666666666667,-4.166666666666667,3.388888888888889,6.458333333333334,-9.541666666666666,0.3333333333333333,-9.333333333333334,-1.8576388888888888,-1.1666666666666667,50
-0.75,-1.25,-4.083333333333334,2.5833333333333335,5.888888888888888,-9.555555555555557,0.5833333333333333,-9.583333333333332,-2.0208333333333335,-1.25,51
-0.3333333333333333,-1.0833333333333335,-4.166666666666667,1.8333333333333335,5.833333333333333,-9.916666666666668,0.9166666666666667,-9.5,-2.0520833333333335,-1.0833333333333335,52
0.25,-0.5,-4.083333333333334,1.3333333333333333,5.833333333333333,-10.25,1.25,-9.0,-1.8958333333333335,-0.5,53
0.5,0.16666666666666666,-3.5,1.25,5.416666666666666,-10.325,1.7777777777777777,-8.166666666666666,-1.6100694444444443,0.16666666666666666,54
0.5833333333333333,0.6,-2.916666666666667,1.5,5.25,,2.3333333333333335,-7.166666666666666,0.026190476190476288,0.5916666666666666,55
0.5888888888888889,0.75,-2.6666666666666665,1.5833333333333335,5.083333333333334,,2.3333333333333335,-6.5,0.1674603174603177,0.6694444444444445,56
,,-2.6666666666666665,1.4166666666666665,4.2,,2.0555555555555554,-6.333333333333333,-0.2655555555555555,0.5755555555555555,57
,,-2.775,1.225,3.5,,1.5888888888888888,-6.666666666666666,-0.6255555555555554,0.29972222222222233,58
